Alappuzha,Ernakulam,Idukki,Kannur,Kasaragod,Kollam,Kottayam,Kozhikode,Malappuram,Palakkad,Pathanamthitta,Thiruvananthapuram,Thrissur,Wayanad
Mavelikara Municipality,Cochin Corporation,Thodupuzha Municipality,Kannur Corporation,Kanhangad Municipality,Kollam Corporation,Pala Municipality,Kozhikode Corporation,Perinthalmanna Municipality,Ottappalam Municipality,Adoor Municipality,Thiruvananthapuram Corporation,Kadappuram,Kalpetta Municipality
Cherthala Municipality,Kalamassery Municipality,Kattappana Municipality,Mattannur Municipality,Kasaragod Municipality,Karunagappally Municipality,Vaikom Municipality,Vadakara Municipality,Ponnani Municipality,Shornur Municipality,Thiruvalla Municipality,Chemmaruthy,Orumanayur,Mananthavady Municipality
Kayamkulam Municipality,Kothamangalam Municipality,Parathode,Thalipparamba Municipality,Nileshwaram Municipality,Paravoor Municipality,Changanassery Municipality,Koyilandy Municipality,Manjeri Municipality,"Chittur,Thathamangalam     Municipality",Pathanamthitta Municipality,Edava,Punnayur,Sulthanbathery Municipality
Alappuzha Municipality,Angamaly Municipality,Koruthod,Koothuparamba Municipality,Mangalpady,Punalur Municipality,Kottayam Municipality,Feroke Municipality,Tirur Municipality,Palakkad Municipality,Pandalam Municipality,Elakamon,Punnayurkulam,Vellamunda
Haripad Municipality,Tripunithura Municipality,Adimaly,Payyannur Municipality,Vorkady,Kottarakkara Municipality,Ettumanur Municipality,Payyoli Municipality,Malappuram Municipality,Pattambi Municipality,Chengannur Municipality,Manamboor,Vadekkekad,Thirunelly
Arookutty,Muvattupuzha Municipality,Konnathady,Thalassery Municipality,Puthige,Oachira,Erattupetta Municipality,Ramanattukara Municipality,Nilambur Municipality,Cherplachery Municipality,Kaviyoor,Ottoor,Choondal,Thondernad
Chennampallippuram,N.Paravur Municipality,Bisonvally,Anthoor Municipality,Meenja,Kulasekharapuram,TV Puram,Koduvally Municipality,Kottakkal Municipality,Mannarkkad Municipality,Kottanadu,Cherunniyoor,Chowwannur,Edavaka
Panavally,Perumbavoor Municipality,Vellathooval,Irutti Municipality,Manjeswhar,Clappana,Vechoor,Mukkam Municipality,Kondotty Municipality,Ottappalam Municipality,Kottangal,Vettoor,Kadavallur,Thavinhal
Perumbalam,Aluva Municipality,Pallivasal,Panoor Municipality,Paivalike,Thazhava,Udayanapuram,Azhiyoor,Tanur Municipality,Shornur Municipality,Kallooppara,Kilimanoor,Kandanassery,Panamaram
Thaicattussery,Thrikkakkara Municipality,Marayoor,Sreekandapuram Municipality,Enmakaje,Alappad,Kaduthuruthy,Chorode,Parappanangadi Municipality,"Chittur,Thathamangalam     Municipality",Kunnanthanam,Pazhayakunnummel,Kattakambal,Poothadi
Vayalar,Elloor Municipality,Munnar,Kunhimangalam,Belloor,Thodiyoor,Kallara,Eramala,Valancherry Municipality,Palakkad Municipality,Mallappally,Karavaram,Porkulam,Mullamkolly
Pattanakkad,Marad Municipality,Kanthalloor,Ramanthali,Kumbadaje,Sasthamcotta,Mulakulam,Onchiyam,Tirurangadi Municipality,Pattambi Municipality,Kadapra,Madavoor,Kadangode,Pulpalli
Thuravoor,Piravom Municipality,Vattavada,"Karivellur,Paralam",Muliyar,West,Njeezhoor,Chekkiad,Chaliyar,Cherplachery Municipality,Kuttoor,Pallickal,Velur,Kaniambetta
Kuthiathodu,Koothattukulam Municipality,Santhanpara,Kankole,Karadka,Sooranad,Thalayolaparambu,Edacheri,Chungathara,Mannarkkad Municipality,Niranam,Nagaroor,Desamangalam,Meenangadi
Kodamthuruthu,Chennamangalam,Chinnakanal,"Eramam,Kuttoor",Delampady,Poruvazhy,Velloor,Purameri,Moothedam,Chalisseri,Nedumpram,Navaikulam,Erumapetty,Nenmeni
Ezhupunna,Kottuvally,Mankulam,"Peringome,Vayakkara",Bedaduka,Kunnathur,Aimanam,Thuneri,Vazhikkadavu,Kappur,Peringara,Pulimath,Mullurkara,Ambalavayal
Aroor,Ezhikkara,Devikulam,Cherupuzha,Kuttikol,Sooranad,Athirampuzha,Valayam,Edakkara,Nagalassery,Ayiroor,Anjuthengu,Thekkumkara,Noolpuzha
"Mararikulam,North",Vadakkekara,Edamalakudy,Cheruthazham,Chengala,Mynagappally,Arpookara,Vanimel,Pothukal,Pattithara,Eraviperoor,Vakkom,Varavoor,Kottathara
Kanjikuzhi,Chittattukara,Pampadumpara,Ezhone,Chemnad,Ummannur,Neendoor,Nadapuram,Amarambalam,Thirumittacode,Koipuram,Chirayinkeezhu,Chelakkara,Vengappally
Thanneermukkam,Karumalloor,Senapathy,Madayi,Madhur,Vettikkavala,Kumarakom,Kunnummal,Karulai,Thrithala,Thottapuzhassery,Kizhuvilam,Vallathol,Vythiri
Cherthala,Varapuzha,Karunapuram,Mattool,Mogral,Melila,Thiruvarpu,Kayakkodi,Kalikavu,Koppam,Ezhumattoor,Mudakkal,Kondazhy,Mutil
Kadakkarappally,Alangad,Rajakkad,Cherukunnu,Badiyadka,Mylam,Kadaplamattom,Kavilumpara,Chokkadu,Kulukkallur,Puramattom,Kadakkavoor,Panjal,Pozhuthana
Aryad,Kadungallur,Nedumkandam,Kalliasseri,Kumbala,Kulakkada,Marangattupally,Kuttiadi,Karuvarakundu,Muthuthala,Omallur,Kallara,Pazhayannur,Thariyode
Mannanchery,Mookkannur,Udumbanchola,Kannapuram,Uduma,Pavithreswaram,Kanakkari,Maruthomkara,Thuvvur,Ongallur,Chenneerkara,Nellanad,Thiruvilwamala,Padinharethara
"Mararikulam,South",Thuravoor,Rajakumari,Narath,Ajanoor,Vilakudy,Veliyannoor,Velom,Edappatta,Parudur,Elanthoor,Pullampara,Madakkathara,Meppadi
Muhamma,Manjapra,Vannappuram,Pattuvam,Madikkai,Thalavoor,Kuravilangad,Narippetta,Mambad,Thiruvegapuram,Cherukole,Vamanapuram,Nadathara,Muppainadu
Purakkad,Karukutty,Udumbanoor,Chengalai,Pallikkara,Piravanthur,Uzhavoor,Ayancheri,Pandikkad,Vilayur,Kozhenchery,Pangode,Pananchery,Anicadu
"Ambalapuzha,South",Ayyampuzha,Kodikulam,Kurumathur,Pullurperiya,Pattazhi,Ramapuram,Villiappally,Porur,Ambalapara,Mallapuzhassery,Nanniyode,Puthur,Pallickal
"Ambalapuzha,North",Kanjoor,Alakkode,Pariyaram,Balal,Pattazhi,Manjoor,Maniyoor,Trikkalangode,Ananganadi,Naranganam,Peringammala,Adat,
"Punnapra,South",Kalady,Velliyamattom,Chapparapadavu,Kodom,Pathanapuram,Bharananganam,Thiruvallur,Thiruvali,Chalavara,"Ranni,Pazhavangadi-",Manickal,Avanur,
"Punnapra,North","Malayattoor,Neeleswaram",Karimannoor,Naduvil,Panathady,Kulathupuzha,Karoor,Thurayur,Vandoor,Lakkidiperur,Ranni,Aryanad,Kaiparambu,
Thalavadi,Asamannoor,Kudayathoor,Udayagiri,Kallar,Eroor,Kozhuvanal,Keezhariyoor,Chelambra,Vaniamkulam,Ranni Angadi,Poovachal,Mulamkunnathukavu,
Edathua,Mudakuzha,Idukki,Alakode,East Eleri,Alayamon,Kadanad,Thikkodi,Cherukavu,Thrikkadeeri,Ranni Perunadu,Vellanad,Tholur,
Thakazhi,Vengoor,Vattikudy,"Kadannapally,Panapuzha",West Eleri,Anchal,Meenachil,Meppayyur,Pallikkal,Vallapuzha,Vadasserikkara,Vithura,Kolazhy,
Nedumudi,Rayamangalam,Arakulam,Eruvessi,Kinanoor,Edamulakkal,Mutholy,Cheruvannur,Vazhayur,Nellaya,Chittar,Uzhamalackal,Elavally,
Champakulam,Koovappady,Kamakshy,Irikkur,Cheruvathur,Karavaloor,Melukavu,Nochad,Vazhakkad,Kadampazhipuram,Seethathodu,Kuttichal,Mullassery,
Kainakary,Okkal,Vazhathope,Malapattom,Kayyur,Thenmala,Moonilavu,Changaroth,Pulikkal,Karimpuzha,Naranamoozhy,Tholicode,Pavaratty,
Muttar,Vengola,Mariyapuram,Payyavoor,Pilicode,Aryankavu,Poonjar,Kayanna,Muthuvallur,Pookkottukavu,Vechuchira,Kattakada,Venkitangu,
